ROUTE,num_flights,avg_delay_minutes,delayed_percentage
SNA_PVU,1058,59.35,37.81
LEX_SFB,639,53.2,44.6
USA_FLL,572,50.19,40.03
DFW_ALB,726,48.36,49.17
BUR_JFK,790,47.48,46.71
JAC_DFW,1931,46.99,27.81
ABQ_JFK,626,44.69,36.58
HTS_PIE,523,43.41,39.96
USA_SFB,588,43.25,40.48
EYW_PHL,1250,43.1,32.0
DEC_JLN,500,42.96,16.8
ASE_ATL,1034,42.76,38.01
DEN_HOB,574,42.54,35.71
DFW_MDT,1079,42.16,41.71
DFW_SYR,1020,41.79,44.51
EGE_LAX,584,40.97,31.34
SMF_JFK,827,40.45,35.07
EYW_DFW,1157,40.38,36.3
ORD_JST,1044,39.41,29.5
LAX_PRC,1070,39.16,19.35
ONT_JFK,826,39.13,31.23
IAH_HOB,567,38.86,26.98
IAH_JFK,1008,38.76,34.62
SFO_ASE,950,38.76,32.11
SAN_FLL,1107,37.75,33.51
DDC_DEN,1411,37.51,22.11
MDT_SFB,791,37.35,32.74
ASE_IAH,1613,37.21,36.45
ORD_JLN,552,37.02,24.46
MRY_DFW,1434,37.01,25.66
RIC_EWR,575,36.93,38.43
ASE_SFO,949,36.75,34.88
SRQ_DFW,1136,36.57,35.83
JAC_EWR,670,36.54,33.13
SBN_SFB,546,36.49,34.8
ATL_SBA,555,36.46,27.93
DVL_DEN,1204,36.33,24.09
HHH_LGA,598,36.29,26.25
ANC_DFW,1088,36.28,26.84
JFK_PSE,672,36.22,46.73
BDL_SJU,2932,36.2,39.7
DFW_BFL,1424,36.12,37.01
MGM_DCA,819,35.86,30.77
SBP_DFW,1424,35.71,28.02
DFW_GEG,1801,35.65,37.7
AUS_PHL,2931,35.63,24.19
MEM_FLL,511,35.55,30.72
IAH_ASE,1567,35.37,34.46
HOB_IAH,576,35.13,20.83
IDA_AZA,624,35.08,25.0
EUG_DFW,749,35.05,25.5
DFW_EUG,750,34.85,37.07
MIA_MEM,1261,34.73,37.27
ORH_FLL,934,34.66,32.55
FCA_DFW,727,34.56,28.34
ASE_DFW,3098,34.42,30.66
ASE_ORD,2579,34.29,33.15
SGF_PIE,529,34.2,32.33
SJU_PHL,4327,34.05,33.49
SJU_DCA,1071,33.94,35.29
MVY_JFK,916,33.91,30.79
AVL_FLL,1904,33.83,33.14
JST_ORD,1060,33.74,21.32
SCK_LAS,1234,33.68,37.36
PGD_TYS,571,33.62,34.33
SAT_JFK,1584,33.28,27.97
PRC_LAX,1073,33.27,24.98
JFK_ABQ,632,33.2,40.51
STS_DFW,715,33.1,27.27
DFW_EYW,1167,32.57,32.82
DFW_MSN,3148,32.56,35.23
JLN_ORD,558,32.41,16.67
GRR_DFW,3150,32.36,29.27
HYS_SLN,509,32.25,22.59
FLL_AVL,1909,32.09,32.06
PNS_DFW,4915,32.09,29.16
FLL_TYS,1175,32.03,34.89
ORD_SUX,1048,32.0,26.34
SJU_BDL,2934,31.84,36.64
AVL_DFW,1829,31.81,27.99
JAX_FLL,1210,31.77,29.42
PNS_DCA,2479,31.75,21.98
IAH_SGF,751,31.73,26.76
MCW_ORD,1255,31.72,23.11
AVL_MIA,503,31.59,42.74
SAT_BOS,1015,31.56,34.58
DEC_ORD,1833,31.53,22.37
SRQ_LGA,1886,31.53,22.38
DSM_DFW,3614,31.5,27.39
SNA_JFK,1070,31.49,26.73
ORD_EAU,638,31.45,30.72
MYR_ABE,569,31.37,25.13
ICT_DCA,606,31.35,29.04
MSN_DFW,3134,31.31,25.69
SRQ_PHL,1558,31.26,25.61
ACK_JFK,1040,31.12,29.62
ORD_CMX,2102,31.04,28.59
ABE_ORD,1049,31.04,22.69
EWR_JAC,662,30.95,29.91
LCK_PGD,512,30.9,32.62
FNT_ORD,3057,30.84,27.35
FCA_ORD,1123,30.75,30.63
JAX_SJU,650,30.61,26.31
DFW_BUF,1519,30.54,37.13
CRW_ORD,2676,30.49,27.77
ORD_ASE,2546,30.46,33.97
EGE_ORD,858,30.42,26.46
SFB_LEX,638,30.35,37.46
JFK_SMF,830,30.34,40.96
DFW_MDW,1303,30.29,31.47
FLL_USA,572,30.26,32.52
MVY_DCA,662,30.26,30.66
JAC_ORD,2030,30.26,26.11
VPS_DFW,3970,30.26,25.77
DCA_AGS,1007,30.24,32.47
BZN_DFW,1963,30.23,25.01
PBI_PHL,4562,30.22,26.7
ASE_LAX,3014,30.14,28.04
STX_MIA,1806,30.12,23.86
CIU_MSP,1077,30.07,18.48
DCA_BTR,761,29.86,33.77
DCA_CAK,1034,29.74,31.72
EGE_DFW,2529,29.52,27.96
ECP_DFW,3079,29.51,26.57
CVG_SAV,524,29.49,26.91
DFW_EGE,2534,29.48,29.04
EYW_BOS,514,29.4,29.38
SUN_SFO,694,29.32,32.56
ORF_DFW,2920,29.28,26.06
MTJ_DFW,1694,29.28,21.66
SAN_MIA,1484,29.13,15.3
DEN_ALB,624,29.07,44.39
RSW_BDL,850,29.0,28.24
DFW_MKE,3315,28.97,33.18
BOS_HNL,764,28.92,32.46
DFW_CAE,2234,28.9,31.96
ORH_MCO,848,28.86,27.71
JFK_ONT,825,28.85,36.85
DFW_GRR,3151,28.79,31.99
CHO_ORD,1711,28.74,25.83
HOB_DEN,575,28.7,20.0
CHS_BOS,3477,28.66,27.41
HLN_DEN,2143,28.65,22.77
CMX_ORD,2118,28.64,26.11
RIC_MCO,2848,28.55,32.72
ATL_BUR,546,28.53,30.04
ORF_FLL,1080,28.51,28.61
SFB_USA,588,28.48,38.78
SUX_DEN,1012,28.46,24.6
MDW_DFW,1305,28.44,30.88
RFD_PGD,537,28.4,25.14
LAN_DCA,854,28.34,29.98
PVU_PHX,597,28.34,27.47
SGF_IAH,755,28.29,23.05
EAU_ORD,637,28.26,20.72
DSM_PIE,529,28.23,26.09
HPN_DCA,3892,28.23,26.52
CID_DFW,3116,28.17,22.27
SFB_CVG,1027,28.17,28.72
DFW_AVL,1843,28.13,24.36
CLT_CID,1452,28.08,29.96
DFW_CID,3115,28.01,29.09
CAK_ORD,3336,27.98,25.09
BZN_EWR,846,27.93,26.6
DEN_MLI,1081,27.93,33.3
SLN_ORD,1042,27.9,20.63
FLL_ALB,1268,27.89,34.78
JFK_BUR,805,27.87,38.76
DFW_DSM,3629,27.86,31.85
AUS_DFW,14201,27.82,23.7
MKE_DFW,3292,27.66,27.19
PBI_DFW,3236,27.62,29.2
LAX_ASE,2993,27.56,28.4
RSW_DFW,3755,27.55,26.76
AZA_PVU,1959,27.54,29.5
FLL_RDU,4031,27.52,31.95
MIA_PDX,848,27.52,35.85
DFW_MCO,14398,27.51,33.78
DEN_PIA,570,27.44,37.37
DEN_LNK,2458,27.42,26.61
MSY_BOS,2692,27.41,28.83
SFB_IND,646,27.39,31.27
JAC_ATL,622,27.38,27.49
DFW_FSD,2672,27.27,30.24
ATL_TTN,589,27.27,32.09
HSV_ORD,2531,27.26,28.92
PSP_JFK,593,27.24,35.58
JAX_PHX,722,27.23,19.81
DFW_PNS,4917,27.22,31.1
DFW_HNL,1822,27.18,25.08
MIA_OKC,579,27.15,34.72
SBA_DFW,1448,27.15,25.14
RSW_DCA,2544,27.13,24.88
SUX_ORD,1071,27.11,22.69
DEN_CYS,1740,27.1,19.37
DFW_ANC,1093,27.06,30.92
PWM_CLT,2002,27.02,20.03
MCO_HPN,3773,26.99,29.58
BTV_DCA,3749,26.98,24.35
STT_SJU,1794,26.92,30.43
COD_DEN,1554,26.92,26.45
RDU_PHL,6682,26.91,26.07
VPS_DCA,1184,26.88,23.06
MIA_SAN,1475,26.88,33.22
BUF_LAX,562,26.86,31.32
PHL_SJU,4348,26.86,35.35
OTH_SFO,919,26.8,23.5
USA_PIE,622,26.77,31.67
CMH_SFO,926,26.75,34.02
PVU_AZA,1967,26.73,18.86
DFW_SFO,11845,26.67,33.33
ACV_DEN,970,26.64,20.31
HHH_EWR,597,26.63,25.46
PBI_ORD,2837,26.63,26.97
AUS_BOS,4717,26.62,26.52
PGD_AVL,676,26.62,29.44
VPS_CVG,1195,26.62,24.85
DCA_CRW,961,26.6,27.99
RDU_SJU,1512,26.58,30.29
MIA_SDF,1410,26.56,29.15
DEN_ASE,7425,26.52,27.45
FLL_JAX,1214,26.48,32.29
MIA_ORF,1425,26.47,23.72
EWR_SJU,6544,26.46,30.75
GRI_DFW,2113,26.44,20.78
FLL_RIC,2446,26.41,33.28
MSY_DFW,8551,26.39,26.58
DFW_SAV,2936,26.38,31.37
STL_DFW,6525,26.37,24.38
DFW_ECP,3086,26.37,31.3
JLN_DEN,857,26.33,22.52
FWA_PIE,531,26.32,31.83
ORD_HSV,2525,26.31,31.21
IAH_DFW,15277,26.28,26.37
ORD_SLN,549,26.28,25.32
GRR_MCO,1241,26.27,25.87
BNA_DFW,9548,26.26,26.35
AMA_IAH,790,26.26,19.24
FLL_JFK,11385,26.25,28.37
DFW_SAT,12360,26.18,31.13
IAD_EWR,4638,26.18,26.91
VEL_DEN,644,26.16,16.77
IAH_VCT,1818,26.16,16.67
FWA_ORD,4582,26.15,26.95
DFW_SBA,1453,26.13,32.28
DFW_FAT,4212,26.13,32.79
IAH_ONT,865,26.08,35.84
BUR_ATL,544,26.07,23.16
DFW_RSW,3761,25.99,33.48
ORD_MHK,695,25.94,27.63
RSW_PHL,4122,25.93,24.38
IAD_JST,1060,25.92,17.83
BWI_DFW,4481,25.91,24.68
PBI_TTN,539,25.89,32.65
MCI_DFW,7118,25.89,25.27
MDW_SFO,941,25.88,37.19
SFB_AVL,1484,25.88,30.32
DFW_SMF,5082,25.87,31.82
FLL_PHL,7771,25.87,25.9
EWR_SMF,901,25.87,32.3
TTN_ATL,593,25.84,28.67
MCO_PHL,16869,25.83,28.34
GEG_DFW,1785,25.83,22.63
PGD_ATW,548,25.81,25.73
IAH_RIC,575,25.81,34.96
DFW_PVU,1135,25.76,31.45
MCO_JFK,14188,25.75,27.58
ORD_FNT,3062,25.72,28.45
DFW_SBP,1426,25.72,28.89
MCO_DFW,14411,25.7,28.92
LAR_DEN,1805,25.69,20.83
IAG_PGD,552,25.68,27.72
SDF_CLT,5517,25.68,22.53
IAH_LFT,683,25.67,21.67
DFW_BOS,11290,25.66,29.39
DTW_SBN,1038,25.66,29.96
DFW_OGG,1234,25.65,22.77
CVG_SFB,1026,25.65,24.46
MIA_MCI,1399,25.62,34.24
MYR_DCA,1621,25.61,26.84
SRQ_ORD,2233,25.58,26.38
SBN_PGD,569,25.56,27.94
CLT_EWR,11252,25.55,29.42
ORD_PHL,12938,25.53,26.06
DFW_PBI,3235,25.52,34.4
PBI_EWR,9883,25.51,25.5
STT_MIA,2563,25.5,18.69
FSD_LAS,535,25.48,25.23
DCA_JAN,895,25.45,29.16
CAE_DFW,2229,25.44,25.08
SAV_BOS,2253,25.44,28.58
ORH_LGA,573,25.43,18.5
