model,class_name,precision,recall,f1_score,support
MLP with Embeddings,On time,0.8429020986446696,0.824969524459296,0.8338394080840962,2453607
MLP with Embeddings,Delay,0.28227892334179544,0.3575356557484726,0.3154813386856029,494801
MLP with Embeddings,Long delay,0.18026622296173045,0.07748755507238084,0.10838552191920607,139816
Wide & Deep,On time,0.8610487502957793,0.7178113691393936,0.7829326673558491,2453607
Wide & Deep,Delay,0.2559481560191349,0.49265058073851914,0.3368774258100314,494801
Wide & Deep,Long delay,0.1591542750929368,0.10288522057561367,0.12497827975673328,139816
TabTransformer Raw,On time,0.8390115624590603,0.858745512219357,0.8487638481475244,2453607
TabTransformer Raw,Delay,0.30282013263715113,0.28810572331098766,0.2952797291517142,494801
TabTransformer Raw,Long delay,0.1723803333050712,0.13087200320421125,0.148785396296221,139816
TabTransformer Calibrated,On time,0.8481630188833703,0.8107569794184644,0.8290382754421544,2453607
TabTransformer Calibrated,Delay,0.2862174125191691,0.33193748597921185,0.30738667148275245,494801
TabTransformer Calibrated,Long delay,0.1529644292164486,0.1848786977169995,0.16741417667574474,139816
